cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-09-07,950.00,30410000.00,939.92,16894627.00,14894627.00
dig-03,Castello,2025-09-07,292.65,19493500.00,277.31,4707100.00,1156487.00
dig-07,Fanaco,2025-09-07,677.50,20700000.00,657.92,2860282.00,2273965.00
dig-09,Garcia (M. Francese),2025-09-07,190.00,61000000.00,173.90,11330000.00,5330000.00
dig-17,Piana Degli Albanesi,2025-09-07,609.00,25000000.00,601.24,8005505.67,6005505.67
dig-12,Leone,2025-09-07,828.00,4150000.00,825.70,3015000.00,1765000.00
dig-18,Poma,2025-09-07,195.60,72300000.00,179.22,19635000.00,11501406.00
dig-20,Prizzi,2025-09-07,638.00,9250000.00,627.20,1463303.65,0.00
dig-21,Ragoleto,2025-09-07,326.00,17160198.00,312.24,5849467.00,2349179.00
dig-22,Rosamarina,2025-09-07,164.00,73034250.00,143.89,19337705.00,10413286.00
dig-25,Santa Rosalia,2025-09-07,378.05,20000000.00,368.14,10376447.00,5345891.00
dig-26,Scanzano,2025-09-07,517.00,7312775.00,514.43,5220455.00,4173115.00
