cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-10-27,950.0,30410000.0,937.12,14181932.45,12181932.45
dig-03,Castello,2025-10-27,292.65,19493500.0,276.81,4421600.0,823106.0
dig-07,Fanaco,2025-10-27,677.5,20700000.0,656.61,2399715.0,1813398.0
dig-09,Garcia (M. Francese),2025-10-27,190.0,61000000.0,170.96,7152000.0,1152000.0
dig-17,Piana Degli Albanesi,2025-10-27,609.0,25000000.0,600.2,6713374.23,4713374.23
dig-12,Leone,2025-10-27,828.0,4150000.0,823.31,2024000.0,774000.0
dig-18,Poma,2025-10-27,195.6,72300000.0,177.62,16835000.0,8573258.0
dig-20,Prizzi,2025-10-27,638.0,9250000.0,626.78,1326798.35,0.0
dig-21,Ragoleto,2025-10-27,326.0,17160198.0,310.49,4850549.0,1350261.0
dig-22,Rosamarina,2025-10-27,164.0,73034250.0,142.59,17242899.0,8262290.0
dig-25,Santa Rosalia,2025-10-27,378.05,20000000.0,366.88,9410547.0,4332491.0
dig-26,Scanzano,2025-10-27,517.0,7312775.0,513.24,4399130.0,3318743.0
dig-31,Gammauta,2025-10-27,500.0,2000000.0,495.72,NaN,56020.3
