cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-10-24,950.0,30410000.0,937.31,14356895.38,12356895.38
dig-03,Castello,2025-10-24,292.65,19493500.0,276.81,4421600.0,823106.0
dig-07,Fanaco,2025-10-24,677.5,20700000.0,656.68,2423155.0,1836838.0
dig-09,Garcia (M. Francese),2025-10-24,190.0,61000000.0,171.02,7226000.0,1226000.0
dig-17,Piana Degli Albanesi,2025-10-24,609.0,25000000.0,600.27,6799033.6,4799033.6
dig-12,Leone,2025-10-24,828.0,4150000.0,823.56,2124000.0,874000.0
dig-18,Poma,2025-10-24,195.6,72300000.0,177.62,16835000.0,8573258.0
dig-20,Prizzi,2025-10-24,638.0,9250000.0,626.81,1336318.33,0.0
dig-21,Ragoleto,2025-10-24,326.0,17160198.0,310.49,4850549.0,1350261.0
dig-22,Rosamarina,2025-10-24,164.0,73034250.0,142.59,17242899.0,8262290.0
dig-25,Santa Rosalia,2025-10-24,378.05,20000000.0,366.88,9410547.0,4332491.0
dig-26,Scanzano,2025-10-24,517.0,7312775.0,513.24,4399130.0,3318743.0
