cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-06-21,950.00,30410000.00,947.38,24804250.83,22804250.83
dig-03,Castello,2025-06-21,292.65,19493500.00,283.51,9272800.00,5607246.25
dig-07,Fanaco,2025-06-21,677.50,20700000.00,662.60,5020712.00,4434395.00
dig-09,Garcia (M. Francese),2025-06-21,190.00,61000000.00,177.65,19160000.00,13160000.00
dig-17,Piana Degli Albanesi,2025-06-21,609.00,25000000.00,602.90,11156193.53,9156193.53
dig-12,Leone,2025-06-21,828.00,4150000.00,826.32,3294000.00,2044000.00
dig-18,Poma,2025-06-21,195.60,72300000.00,182.32,26880000.00,18425580.25
dig-20,Prizzi,2025-06-21,638.00,9250000.00,632.90,4103274.64,2603274.64
dig-21,Ragoleto,2025-06-21,326.00,17160198.00,316.80,8958095.00,5457807.00
dig-22,Rosamarina,2025-06-21,164.00,73034250.00,146.00,22997400.12,13900196.64
dig-25,Santa Rosalia,2025-06-21,378.05,20000000.00,370.91,12726850.10,7555344.10
dig-26,Scanzano,2025-06-21,517.00,7312775.00,516.27,6666024.06,5557859.04
