cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-07-23,950.00,30410000.00,945.67,22973381.19,20973381.19
dig-03,Castello,2025-07-23,292.65,19493500.00,279.95,6392500.00,2677519.00
dig-07,Fanaco,2025-07-23,677.50,20700000.00,660.96,4174889.00,3588572.00
dig-09,Garcia (M. Francese),2025-07-23,190.00,61000000.00,177.01,17624000.00,11624000.00
dig-17,Piana Degli Albanesi,2025-07-23,609.00,25000000.00,602.40,10000550.70,8000550.70
dig-12,Leone,2025-07-23,828.00,4150000.00,826.11,3199500.00,1949500.00
dig-18,Poma,2025-07-23,195.60,72300000.00,181.00,23500000.00,14786215.00
dig-20,Prizzi,2025-07-23,638.00,9250000.00,631.85,3496940.47,1996940.47
dig-21,Ragoleto,2025-07-23,326.00,17160198.00,315.05,7683288.00,4183000.00
dig-22,Rosamarina,2025-07-23,164.00,73034250.00,145.14,21465231.00,12328197.00
dig-25,Santa Rosalia,2025-07-23,378.05,20000000.00,369.93,11857746.00,6567860.00
dig-26,Scanzano,2025-07-23,517.00,7312775.00,515.48,5998642.00,4800597.00
